uid,namedLocation,date,eventID,domainID,siteID,plotID,individualID,tempStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,changedMeasurementLocation,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,dendrometerInstallationDate,initialGapMeasurementDate,initialBandStemDiameter,initialDendrometerGap,dendrometerHeight,dendrometerGap,dendrometerCondition,bandStemDiameter,remarks,recordedBy,measuredBy,dataEntryRecordID,dataQF
"2e667bc2-dc3b-4cbd-aa6d-c244ec6284f7","DEJU_045.basePlot.vst","2021-08-23","vst_DEJU_2021","D19","DEJU","DEJU_045","NEON.PLA.D19.DEJU.02421","1","ok","small tree","Live, disease damaged",5.8,130,"noChange",1.8,,,,1.3,1.1,"Partially shaded",,,,,,,,,,,,,,"Unknown","0000-0001-6603-4076","0000-0003-1678-1246","b93e9e24-5c2f-43a8-9bf7-6f787588e755",
"f0df30fd-4d95-4521-9923-c96c194525b4","DEJU_045.basePlot.vst","2021-08-23","vst_DEJU_2021","D19","DEJU","DEJU_045","NEON.PLA.D19.DEJU.02103","1","ok",,"Downed",,,"noChange",,,,,,,,,,,,,,,,,,,,,"Dead; Unknown cause of death","0000-0001-6603-4076","0000-0003-1678-1246","ca48f6ee-2b8f-4be5-9c88-91c1e1da3650",
"2ec5463c-30b2-463a-96fa-d98e2dea999c","DEJU_045.basePlot.vst","2021-08-23","vst_DEJU_2021","D19","DEJU","DEJU_045","NEON.PLA.D19.DEJU.00467","1","ok",,"Downed",,,"noChange",,,,,,,,,,,,,,,,,,,,,"Dead; Unknown cause of death","0000-0001-6603-4076","0000-0003-1678-1246","6290c698-9e70-47e2-98a1-b3324a6d0def",
"9319fd5e-1ca0-4ee5-9aa7-1e69771c5724","DEJU_045.basePlot.vst","2021-08-23","vst_DEJU_2021","D19","DEJU","DEJU_045","NEON.PLA.D19.DEJU.00500","1","ok","single bole tree","Live",13.5,120,"noChange",4.9,,,,2.1,1.9,"Mostly shaded",,,,,,,,,,,,,,,"0000-0001-6603-4076","0000-0003-1678-1246","7f078020-a4ab-4b49-9e13-cb50087cdbc8",
"5f5eb1d7-eebe-4aa2-95c9-ba9b5791087e","DEJU_045.basePlot.vst","2021-08-23","vst_DEJU_2021","D19","DEJU","DEJU_045","NEON.PLA.D19.DEJU.02102","1","ok","sapling","Live",,,"noChange",0.4,,,,,,"Partially shaded",,1.2,10,,,,,,,,,,,,"0000-0001-6603-4076","0000-0003-1678-1246","5f9cb861-ffef-42c8-a9c9-15a7f0dc02ee",
"fdb5b491-935f-4968-a31c-e9e4cc97a1e7","DEJU_045.basePlot.vst","2021-08-23","vst_DEJU_2021","D19","DEJU","DEJU_045","NEON.PLA.D19.DEJU.02112","1","ok","small shrub","Live",,,"noChange",0.7,,,,0.9,0.7,"Full sun","inverted cone",1.0,10,0.22,0.19,,,,,,,,,,"0000-0001-6603-4076","0000-0003-1678-1246","1a4aa0a8-0dd3-4c1f-b044-80f4ff284828",
"190130f2-0d14-4bf1-94bf-5817bd025a99","DEJU_045.basePlot.vst","2021-08-23","vst_DEJU_2021","D19","DEJU","DEJU_045","NEON.PLA.D19.DEJU.00474","4","ok","small shrub","Standing dead",,,"noChange",,,,,,,,"half-sphere",1.5,11,,,,,,,,,,,"Dead; Unknown cause of death","0000-0001-6603-4076","0000-0003-1678-1246","f9af1116-e154-409e-a4a3-09ea6c1502ca",
"f2fe5d9e-c0aa-4d36-9a82-801134ef2dee","DEJU_045.basePlot.vst","2021-08-23","vst_DEJU_2021","D19","DEJU","DEJU_045","NEON.PLA.D19.DEJU.00499","11","ok","small shrub","Live",,,"noChange",,,,,,,,"half-sphere",1.9,9,,,,,,,,,,,,"0000-0001-6603-4076","0000-0003-1678-1246","e0b04bb1-265f-40e6-a85b-517da55ec03b",
"71a97831-362c-4aa8-9745-4f88388c222a","DEJU_045.basePlot.vst","2021-08-23","vst_DEJU_2021","D19","DEJU","DEJU_045","NEON.PLA.D19.DEJU.00499","21","ok","small shrub","Standing dead",,,"noChange",,,,,,,,"half-sphere",1.8,10,,,,,,,,,,,"Dead; Unknown cause of death","0000-0001-6603-4076","0000-0003-1678-1246","3e8d671d-fd79-4847-89b7-da308ddb4140",
"0667ea30-677b-4133-9c50-cc635c2a139a","DEJU_045.basePlot.vst","2021-08-23","vst_DEJU_2021","D19","DEJU","DEJU_045","NEON.PLA.D19.DEJU.00389","1","ok","small tree","Live",2.1,129,"noChange",2.0,,,,0.8,0.7,"Full sun",,,,,,,,,,,,,,,"0000-0001-6603-4076","0000-0003-1678-1246","5b016fa4-560b-4aa3-90a9-537e39844898",
"dfb49afc-5355-4e99-a9b3-158b5d3995c3","DEJU_045.basePlot.vst","2021-08-23","vst_DEJU_2021","D19","DEJU","DEJU_045","NEON.PLA.D19.DEJU.00499","24","ok","small shrub","Live",,,"noChange",,,,,,,,"half-sphere",1.3,10,,,,,,,,,,,,"0000-0001-6603-4076","0000-0003-1678-1246","bba95370-2cdd-4959-8419-1d6d533df270",
"df29b049-5810-453c-9ca0-5364be169503","DEJU_045.basePlot.vst","2021-08-23","vst_DEJU_2021","D19","DEJU","DEJU_045","NEON.PLA.D19.DEJU.00414","1","ok","small tree","Live",9.0,130,"noChange",5.1,,,,1.6,1.4,"Full sun",,,,,,,,,,,,,,,"0000-0001-6603-4076","0000-0003-1678-1246","91138c34-558c-4147-8034-52a30f8fa707",
"422df325-1cdc-4893-87a2-a0ae89ee70a9","DEJU_045.basePlot.vst","2021-08-23","vst_DEJU_2021","D19","DEJU","DEJU_045","NEON.PLA.D19.DEJU.00415","1","ok","small tree","Live",8.5,135,"noChange",5.0,,,,1.4,1.3,"Partially shaded",,,,,,,,,,,,,,,"0000-0001-6603-4076","0000-0003-1678-1246","f245c28b-1970-45f7-9179-c7fb548f957e",
"c4987376-7c5e-4b73-bdcd-ea8223b98bd5","DEJU_045.basePlot.vst","2021-08-23","vst_DEJU_2021","D19","DEJU","DEJU_045","NEON.PLA.D19.DEJU.00499","18","ok","small shrub","Standing dead",,,"noChange",,,,,,,,"half-sphere",2.6,10,,,,,,,,,,,"Dead; Unknown cause of death","0000-0001-6603-4076","0000-0003-1678-1246","97f20d5c-3c79-400e-9b61-e6cc68718b9a",
